Individu,Dim1_coord,Dim2_coord,Dim1_contrib,Dim2_contrib,Cos2_total
1,0.304325012443206,0.42187782518839817,0.0017150687629362467,0.003295942581216559,0.0
2,0.1680365843627945,0.10661117630593035,0.0005228943274873135,0.00021048042432100377,0.0
3,0.3869575872085669,-0.3473320770210309,0.002772892116634713,0.00223406614310633,0.0
4,-0.5549354056089812,0.26104787786289657,0.005702838970340857,0.00126196286179113,0.0
5,-0.5549354056089812,0.26104787786289657,0.005702838970340852,0.0012619628617911304,0.0
6,-0.3070665443194471,-0.43082951761966076,0.001746108567412718,0.003437297652822032,0.0
7,0.3021643527342728,0.3687188483184422,0.0016908017789504075,0.0025176590575051337,0.0
8,0.16587592465386128,0.053452199435974436,0.0005095337477735711,5.2909956010054315e-05,0.0
9,0.3847969274996337,-0.4004910538909868,0.002742012507651077,0.002970242300865054,0.0
10,-0.5570960653179144,0.20788890099294058,0.005747333814679687,0.0008003295399268977,0.0
11,-0.5570960653179144,0.20788890099294058,0.005747333814679698,0.0008003295399269148,0.0
12,-0.3092272040283803,-0.48398849448961667,0.0017707678465038845,0.004337867829598624,0.0
13,0.2155348837962643,0.04743883672050623,0.0008602830765383127,4.167487461842372e-05,0.0
14,0.07924645571585281,-0.26782781216196155,0.00011629631006526994,0.001328365499397465,0.0
15,0.2981674585616252,-0.7217710654889228,0.0016463672841684855,0.00964728649957435,0.0
16,-0.6437255342559229,-0.11339111060499539,0.007673751175056941,0.00023810266600433856,0.0
17,-0.6437255342559229,-0.11339111060499539,0.007673751175056941,0.00023810266600433856,0.0
18,-0.39585667296638877,-0.8052685060875527,0.0029018982505929387,0.012008469757342195,0.0
19,0.2133742240873311,-0.0057201401494496795,0.0008431214723124124,6.059259875805369e-07,0.0
20,0.07708579600691962,-0.32098678903191746,0.0001100411101114873,0.0019080096061670502,0.0
21,0.296006798852692,-0.7749300423588787,0.001622593054944773,0.011120677232413584,0.0
22,-0.6458861939648561,-0.16655008747495129,0.00772535139915572,0.0005136839192206293,0.0
23,-0.6458861939648561,-0.16655008747495129,0.00772535139915572,0.0005136839192206293,0.0
24,-0.39801733267532197,-0.8584274829575086,0.002933662909444042,0.013646254509199332,0.0
25,0.6988705477463836,-0.13494377952539838,0.00904481560198758,0.0003372189561592468,0.0
26,0.5625821196659722,-0.4502104284078662,0.005861085951256623,0.003753507960133236,0.0
27,0.7815031225117445,-0.9041536817348275,0.011310132046214923,0.015138775559160073,0.0
28,-0.16038987030580365,-0.2957737268509,0.00047638723142060717,0.0016200388425050168,0.0
29,-0.16038987030580365,-0.2957737268509,0.00047638723142060717,0.0016200388425050168,0.0
30,0.08747899098373056,-0.9876511223334573,0.00014171433080614022,0.018063976656417367,0.0
31,0.6967098880374504,-0.18810275639535426,0.008988975334984375,0.0006552342030283321,0.0
32,0.5604214599570388,-0.503369405277822,0.005816152088525528,0.0046922362624027495,0.0
33,0.7793424628028113,-0.9573126586047833,0.011247679154213909,0.016971250487499243,0.0
34,-0.1625505300147369,-0.3489327037208559,0.0004893087927420773,0.0022547042912212357,0.0
35,-0.1625505300147369,-0.3489327037208559,0.0004893087927420773,0.0022547042912212357,0.0
36,0.08531833127479731,-1.040810099203413,0.000134800326879926,0.020060845603774417,0.0
37,0.4078685678684828,0.6422361825747821,0.0030806809010201362,0.007638283596448693,0.0
38,0.27158013978807133,0.32696953369231424,0.0013658476356909024,0.0019797977030179548,0.0
39,0.4905011426338437,-0.126973719634647,0.0044553957578723526,0.0002985615829232937,0.0
40,-0.4513918501837044,0.48140623524928045,0.0037732333780049598,0.004291703024757144,0.0
41,-0.4513918501837044,0.48140623524928045,0.0037732333780049598,0.004291703024757144,0.0
42,-0.20352298889417025,-0.2104711602332769,0.0007670667964521543,0.0008203353572211401,0.0
43,0.4057079081595496,0.5890772057048261,0.0030481279026518078,0.006426147301500125,0.0
44,0.26941948007913813,0.27381055682235833,0.0013442010415946914,0.0013883744634698133,0.0
45,0.4883404829249105,-0.18013269650460292,0.004416230134506206,0.0006008849694448004,0.0
46,-0.4535525098926376,0.4282472583793245,0.0038094422079613223,0.0033962169316557054,0.0
47,-0.4535525098926376,0.4282472583793245,0.0038094422079613223,0.0033962169316557054,0.0
48,-0.20568364860310345,-0.2636301371032328,0.0007834400611608276,0.0012870527627605384,0.0
49,0.3190784392215411,0.2677971941068901,0.0018853898217787925,0.0013280617994726608,0.0
50,0.18279001114112964,-0.04746945477557767,0.0006187442254254537,4.1728687716492746e-05,0.0
51,0.401711013986902,-0.5014127081025389,0.002988365532562694,0.004655827849013366,0.0
52,-0.5401819788306461,0.10696724678138851,0.005403640189877641,0.00021188873859241642,0.0
53,-0.5401819788306461,0.10696724678138851,0.005403640189877641,0.00021188873859241642,0.0
54,-0.29231311754111194,-0.5849101487011688,0.0015823510867889565,0.006335553371363384,0.0
55,0.3169177795126079,0.21463821723693421,0.0018599422031704079,0.00085314007960462,0.0
56,0.18062935143219644,-0.10062843164553355,0.0006042030110891865,0.0001875200232488847,0.0
57,0.3995503542779688,-0.5545716849724948,0.0029563052889564974,0.005695365810615402,0.0
58,-0.5423426385395793,0.05380826991143263,0.005446954399593947,5.36172205715115e-05,0.0
59,-0.5423426385395793,0.05380826991143263,0.005446954399593947,5.36172205715115e-05,0.0
60,-0.29447377725004514,-0.6380691255711246,0.0016058297312575727,0.007539485351983317,0.0
61,0.8024141031716604,0.08541457786098554,0.011923488758681135,0.00013510463168834113,0.0
62,0.666125675091249,-0.22985207102148228,0.008217100278069865,0.0009783698991271215,0.0
63,0.8850466779370213,-0.6837953243484435,0.014505696706062197,0.008658815659273938,0.0
64,-0.05684631488052681,-0.0754153694645161,5.984265769437038e-05,0.00010532366576795255,0.0
65,-0.05684631488052681,-0.0754153694645161,5.984265769437038e-05,0.00010532366576795255,0.0
66,0.19102254640900737,-0.7672927649470733,0.000675733578455215,0.01090255902111341,0.0
67,0.8002534434627272,0.03225560099102964,0.01185936247729542,1.9267107320232057e-05,0.0
68,0.6639650153823157,-0.28301104789143816,0.008163880400956286,0.0014832454301594447,0.0
69,0.8828860182280881,-0.7369543012183993,0.014434957799678676,0.010057437816375914,0.0
70,-0.05900697458946007,-0.12857434633447198,6.44782046333555e-05,0.00030613634324697765,0.0
71,-0.05900697458946007,-0.12857434633447198,6.44782046333555e-05,0.00030613634324697765,0.0
72,0.18886188670007412,-0.8204517418170292,0.0006605335601465151,0.012465575197233276,0.0
73,0.04172729439667663,0.604298724569827,3.224383514197962e-05,0.006762536083642958,0.0
74,-0.09456113368373485,0.2890320756873593,0.0001655890371028366,0.0015470285328915423,0.0
75,0.12435986916203752,-0.164911177639602,0.0002863958714444265,0.0005036240094533403,0.0
76,-0.8175331236555106,0.4434687772443255,0.012377044597665516,0.0036419362294551295,0.0
77,-0.8175331236555106,0.4434687772443255,0.012377044597665516,0.0036419362294551295,0.0
