Dim 1,Dim 2,Dim 3,Dim 4,R²_Dim 1,R²_Dim 2,R²_Dim 3,R²_Dim 4
0.3227,0.0545,0.034,0.095,0.1041,0.003,0.0012,0.009
-0.0146,-0.1455,0.8568,0.0656,0.0002,0.0212,0.7342,0.0043
